Species	Fruiting_body_type3	Fruiting_body_type1	Fruiting_body_type2	corrected
Inocybe_cf._serrata_AY380392	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_serrata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_destruens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_scabriuscula	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_eriocaulis_nom._prov._EU569843	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_cf._murrayana_EU555461	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_aff._serrata_EU600859	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_persicinipes_nom._prov._EU60083	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_fibrillosibrunnea	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_actinospora_nom._prov._AY380363	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_calospora	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_praetervisa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_tubarioides_AY732211	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_relicina	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_nothopedes_nom._prov._AY380388	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_nothopes	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_pseudocystis_nom._prov._AY38038	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_rhodella_BRG_MCA3917_NG_042596	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_marginata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_petiginosa_G0537_NL0946	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_decipiens_G0337_NL0559	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_javorkae_G0225_NL0326	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_mixtilis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_strobilomyces	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_emergens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_fulvilubrica	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_griseoscabrosa_G0224_NL3676	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_aeruginascens_G0220_NL0134	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_pruinosa_G0226_NL3562	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_serotina	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_serotina_AY380391	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_splendens_G0227_NL3928	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_geophylla_aff._G0023_NL5120	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_praecox_AY038311	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_glabripes_cf._G0259_NL0915	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_geophylla	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_fuscodisca	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._WT11_DQ273437	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_armeniaca	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_pudica	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_lilacina	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_agglutinata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_luteifolia	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_tenebrosa_G0662_DB3042	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_mytiliodora_G0933_NL3097	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_flocculosa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_stuntzii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_queletii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_semifulva	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_violaceocaulis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sindonia	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_cinnamomea	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_pusio	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
